id,instrument_name,nombre_de_titres,facteur_flottant
1,ATTIJARIWAFA BANK,215140839.00,0.30
2,ITISSALAT AL-MAGHRIB,879095340.00,0.20
3,SODEP-Marsa Maroc,73395600.00,0.35
4,LAFARGEHOLCIM MAROC,23431240.00,0.30
5,BCP,203312473.00,0.20
6,BANK OF AFRICA,215786333.00,0.25
7,CIMENTS DU MAROC,14436004.00,0.30
8,COSUMAR,94487143.00,0.40
9,AKDITAL,14159207.00,0.40
10,CFG BANK,35007960.00,0.80
11,MANAGEM,11864676.00,0.15
12,DOUJA PROM ADDOHA,402551254.00,0.35
13,LABEL VIE,2893957.00,0.45
14,TGCC S.A,31639850.00,0.30
15,TAQA MOROCCO,23588542.00,0.15
16,ALLIANCES,22078588.00,0.40
17,AFRIQUIA GAZ,3437500.00,0.30
18,WAFA ASSURANCE,3500000.00,0.25
19,ARADEI CAPITAL,12568130.00,0.60
20,CIH,31497283.00,0.25
21,HPS,7406190.00,0.65
22,CDM,10881214.00,0.25
23,CMGP GROUP,17000900.00,0.50
24,JET CONTRACTORS,3029522.00,0.40
25,MUTANDIS SCA,9246737.00,0.80
26,TOTALENERGIES MARKETING MAROC,8960000.00,0.15
27,LESIEUR CRISTAL,27631510.00,0.25
28,SONASID,3900000.00,0.35
29,BMCI,13279286.00,0.20
30,MINIERE TOUISSIT,1681233.00,0.50
31,ATLANTASANAD,60283595.00,0.15
32,SOCIETE DES BOISSONS DU MAROC,2829653.00,0.20
33,RESIDENCES DAR SAADA,26208850.00,0.45
34,DELTA HOLDING,87600000.00,0.20
35,SANLAM MAROC,4116874.00,0.10
36,SOTHEMA,7200000.00,0.10
37,AUTO HALL,50294528.00,0.20
38,RISMA,14326947.00,0.15
39,SNEP,2400000.00,0.40
40,SMI,1645090.00,0.15
41,IMMORENTE INVEST,9007000.00,0.70
42,MICRODATA,1680000.00,0.45
43,AGMA,200000.00,0.35
44,AFMA,1000000.00,0.40
45,DISWAY,1885762.00,0.35
46,UNIMER,11413880.00,0.20
47,OULMES,1980000.00,0.15
48,SALAFIN,3124119.00,0.20
49,EQDOM,1670250.00,0.20
50,COLORADO,16117611.00,0.35
51,CTM,1225978.00,0.25
52,DARI COUSPATE,298375.00,0.30
53,DISTY TECHNOLOGIES,998110.00,0.70
54,ALUMINIUM DU MAROC,465954.00,0.30
55,MAGHREBAIL,1384182.00,0.15
56,M2M Group,647777.00,0.35
57,MAROC LEASING,2776768.00,0.10
58,AUTO NEJMA,1023264.00,0.05
59,PROMOPHARM S.A.,1000000.00,0.10
60,S.M MONETIQUE,812070.00,0.30
61,ENNAKL,30000000.00,0.10
62,MAGHREB OXYGENE,812500.00,0.20
64,FENIE BROSSETTE,1438984.00,0.35
65,STOKVIS NORD AFRIQUE,17695150.00,0.15
66,AFRIC INDUSTRIES SA,291500.00,0.50
67,REALISATIONS MECANIQUES,320000.00,0.20
68,MED PAPER,4783823.00,0.25
69,CARTIER SAADA,5265000.00,0.15
71,DELATTRE LEVIVIER MAROC,1750000.00,0.20
72,INVOLYS,382716.00,0.35
74,IB MAROC.COM,417486.00,0.45